posting_id,title,company,location,work_type,salary_min,salary_max,required_skills,experience_years,posted_date,uw_partnership,is_duplicate_flag,status
JOB-0001,FP&A Analyst,Boeing,"Seattle, WA",Hybrid,115000,130000,A/B Testing; Stakeholder Management; dbt; AWS; Power BI; BigQuery,2,2023-07-08,True,False,Expired
JOB-0002,FP&A Analyst,Starbucks,Remote,On-site,65000,80000,SQL; Azure; Power BI; Spark; Statistics; Excel; Communication,0,2024-09-05,False,False,Active
JOB-0003,Business Intelligence Developer,KPMG,"Redmond, WA",Remote,100000,120000,Data Modeling; BigQuery; Stakeholder Management; Communication,0,2024-08-15,False,False,Active
JOB-0004,Data Scientist I,IQVIA,"Seattle, WA",On-site,90000,110000,AWS; Excel; Tableau,3,2024-09-05,False,False,Active
JOB-0005,Data Analyst,Remitly,Remote,Hybrid,55000,75000,Communication; Looker; Statistics; Power BI; R; Excel,1,2024-09-02,False,True,Active
JOB-0006,Associate Data Analyst,EY,Remote,On-site,80000,90000,Excel; Tableau; Power BI; GCP,1,2024-07-02,False,False,Active
JOB-0007,Data Analyst,Auth0,"Bellevue, WA",On-site,65000,90000,Looker; dbt; Communication; Tableau,3,2024-06-25,False,False,Active
JOB-0008,Business Intelligence Developer,Costco,"Kirkland, WA",Remote,,,Spark; GCP; Communication; Python; Power BI; BigQuery; Stakeholder Management,1,2024-07-04,False,False,Active
JOB-0009,Finance Analyst,Amazon,"Redmond, WA",Remote,115000,125000,AWS; Tableau; Stakeholder Management; GCP; A/B Testing; Statistics; Snowflake,2,2024-10-13,False,False,Active
JOB-0010,FP&A Analyst,Providence Health,"Bellevue, WA",Remote,,,Spark; BigQuery; Snowflake,2,2024-06-05,False,False,Active
JOB-0011,Data Scientist,Tableau,"Kirkland, WA",On-site,80000,100000,SQL; R; Statistics; Looker; Data Modeling,3,2024-10-11,False,False,Active
JOB-0012,Data Scientist,Expedia,"Redmond, WA",Hybrid,,,Looker; Snowflake; Excel; R; Tableau; Power BI,2,2024-07-03,False,False,Active
JOB-0013,Data Scientist I,Boeing,Remote,Hybrid,115000,135000,Data Modeling; Azure; Statistics; Looker,0,2024-12-24,False,False,Active
JOB-0014,Ops Analyst,Microsoft,Remote,Remote,115000,140000,GCP; Tableau; BigQuery; Power BI; Statistics; SQL,2,2023-03-23,False,False,Expired
JOB-0015,Product Data Analyst,T-Mobile,"Bellevue, WA",Hybrid,90000,100000,Stakeholder Management; Looker; SQL; Snowflake,0,2024-11-19,False,False,Active
JOB-0016,Data Analyst I,Remitly,"Redmond, WA",Hybrid,72000,82000,Statistics; Spark; GCP; Tableau; Python; BigQuery; SQL,2,2024-08-05,False,False,Active
JOB-0017,Associate Product Analyst,Costco,"Bellevue, WA",On-site,,,Power BI; Snowflake; R; Tableau; AWS; GCP; Statistics,3,2024-06-27,False,False,Active
JOB-0018,Ops Analyst,REI,Remote,Hybrid,65000,75000,Snowflake; R; Communication; Spark; Tableau; Azure,1,2024-09-01,False,False,Active
JOB-0019,BI Analyst,Convoy,"Bellevue, WA",Hybrid,,,Stakeholder Management; Communication; BigQuery; Power BI; SQL; Looker,1,2023-01-02,False,False,Expired
JOB-0020,Product Analyst,Providence Health,"Kirkland, WA",Remote,,,GCP; dbt; Python; Statistics; Power BI; Spark,0,2024-11-17,False,False,Active
JOB-0021,Associate Financial Analyst,Boeing,"Kirkland, WA",On-site,65000,85000,BigQuery; SQL; Python; Power BI,2,2024-10-23,True,False,Active
JOB-0022,Data Engineer,McKinsey,Remote,Remote,100000,115000,dbt; A/B Testing; Python; Statistics; Excel; Snowflake,1,2024-09-15,False,False,Active
JOB-0023,Growth Analyst,EY,Remote,On-site,72000,92000,Snowflake; Python; Data Modeling; Tableau,1,2023-03-23,False,False,Expired
JOB-0024,Product Analyst,IQVIA,Remote,Hybrid,,,Communication; AWS; Python; Looker; Data Modeling; BigQuery,2,2024-10-11,False,False,Active
JOB-0025,FP&A Analyst,Seattle Children's,"Redmond, WA",On-site,90000,115000,Stakeholder Management; Tableau; Data Modeling; Snowflake; Statistics; Power BI; Looker,1,2024-08-12,False,False,Active
JOB-0026,Jr. Data Engineer,Auth0,"Bellevue, WA",On-site,,,Statistics; Snowflake; Python; dbt,0,2024-08-25,False,False,Active
JOB-0027,Product Analyst,IQVIA,"Seattle, WA",Hybrid,,,GCP; SQL; Power BI; Tableau; Communication,1,2024-06-28,False,False,Active
JOB-0028,Business Operations Analyst,Nordstrom,Remote,Hybrid,72000,87000,Communication; Data Modeling; GCP; BigQuery; Tableau,1,2024-10-12,False,False,Active
JOB-0029,Jr. Data Engineer,REI,Remote,Hybrid,115000,140000,Communication; Statistics; A/B Testing; Looker,3,2024-08-07,False,False,Active
JOB-0030,"Analyst, Data",T-Mobile,Remote,On-site,65000,80000,Statistics; SQL; dbt; Stakeholder Management; BigQuery,1,2024-11-07,False,False,Active
JOB-0031,Ops Analyst,Seattle Children's,"Seattle, WA",Hybrid,100000,115000,Data Modeling; GCP; Azure; Python; Excel,3,2024-07-21,False,False,Active
JOB-0032,Data Engineer,Zillow,"Redmond, WA",Hybrid,90000,110000,Machine Learning; GCP; Data Modeling; SQL; dbt; AWS,2,2024-08-18,False,False,Active
JOB-0033,Jr. Data Scientist,PwC,"Seattle, WA",Remote,80000,105000,Power BI; Spark; BigQuery; Snowflake; SQL,1,2024-12-15,False,False,Active
JOB-0034,Ops Analyst,Nordstrom,Remote,Hybrid,115000,130000,SQL; R; Machine Learning; Snowflake; A/B Testing; Excel; Python,2,2024-12-03,False,False,Active
JOB-0035,Marketing Data Analyst,IQVIA,Remote,On-site,90000,110000,Azure; AWS; Snowflake; Python; Communication,0,2024-11-28,False,False,Active
JOB-0036,Business Intelligence Developer,Microsoft,"Kirkland, WA",Remote,72000,82000,Power BI; Azure; Python; Spark; Snowflake; A/B Testing,1,2024-06-19,False,False,Active
JOB-0037,Associate Financial Analyst,Seattle Children's,"Seattle, WA",Hybrid,,,A/B Testing; Tableau; SQL; AWS; BigQuery; Excel; Looker,1,2024-09-12,False,False,Active
JOB-0038,Associate Data Scientist,Auth0,Remote,On-site,80000,90000,Excel; AWS; Azure; Looker; Stakeholder Management; R; Statistics,1,2024-12-28,False,False,Active
JOB-0039,Product Analyst,Zillow,Remote,On-site,80000,90000,Looker; GCP; Stakeholder Management,2,2024-11-25,False,False,Active
JOB-0040,Growth Analyst,Accenture,Remote,Remote,100000,120000,Power BI; Stakeholder Management; Azure; dbt,1,2024-10-01,True,False,Active
JOB-0041,Marketing Data Analyst,Convoy,"Bellevue, WA",Hybrid,55000,80000,Snowflake; Data Modeling; Power BI; SQL; Azure; BigQuery,2,2024-07-06,False,False,Active
JOB-0042,Associate Data Scientist,REI,"Seattle, WA",On-site,,,Snowflake; R; Python; Communication; SQL; Looker; GCP,3,2024-10-05,False,False,Active
JOB-0043,Jr. Data Engineer,Nordstrom,"Kirkland, WA",Remote,55000,70000,Data Modeling; AWS; R,2,2024-12-07,False,False,Active
JOB-0044,Ops Analyst,Convoy,Remote,Remote,115000,135000,Snowflake; A/B Testing; Python,3,2024-11-18,False,False,Active
JOB-0045,Associate Financial Analyst,Tableau,"Kirkland, WA",Remote,100000,120000,Tableau; Spark; R; Azure; Power BI; GCP; Data Modeling,1,2024-10-18,False,False,Active
JOB-0046,Product Data Analyst,Tableau,Remote,Remote,80000,105000,Excel; Spark; SQL; Tableau; Stakeholder Management; R; Looker,2,2024-11-14,False,False,Active
JOB-0047,Jr. Data Engineer,Starbucks,"Redmond, WA",Remote,65000,90000,dbt; Looker; Tableau; Spark; Stakeholder Management; BigQuery; GCP,2,2024-12-15,False,False,Active
JOB-0048,Data Engineer,Starbucks,"Bellevue, WA",Remote,55000,65000,Azure; Power BI; GCP,2,2024-12-01,False,False,Active
JOB-0049,Jr. Data Engineer,KPMG,Remote,On-site,90000,100000,GCP; Python; R; Power BI,2,2024-07-21,False,False,Active
JOB-0050,Associate Data Analyst,Seattle Children's,"Kirkland, WA",On-site,80000,95000,Data Modeling; Power BI; Tableau; R,1,2024-07-04,False,False,Active
JOB-0051,Product Analyst,Amazon,"Kirkland, WA",Hybrid,,,BigQuery; Looker; Stakeholder Management,1,2023-01-12,False,False,Expired
JOB-0052,Business Intelligence Developer,IQVIA,"Seattle, WA",Hybrid,,,BigQuery; Machine Learning; Tableau; R; Azure; Statistics; SQL,1,2024-11-22,False,False,Active
JOB-0053,FP&A Analyst,Costco,"Kirkland, WA",Hybrid,90000,105000,AWS; dbt; Python; R,2,2024-08-04,False,False,Active
JOB-0054,Data Scientist I,REI,"Redmond, WA",Remote,,,Excel; Data Modeling; R; Power BI; Machine Learning; Azure,2,2024-12-14,False,False,Active
JOB-0055,Operations Analyst,Highspot,"Bellevue, WA",On-site,,,Python; Looker; Communication; Machine Learning,2,2024-11-07,False,False,Active
JOB-0056,Associate Data Scientist,Deloitte,"Seattle, WA",Hybrid,55000,70000,R; Excel; Looker; GCP; A/B Testing; dbt; BigQuery,2,2024-09-05,False,False,Active
JOB-0057,Associate Data Analyst,Microsoft,"Redmond, WA",On-site,,,Data Modeling; Statistics; Excel; dbt; SQL; AWS,0,2024-06-02,False,False,Active
JOB-0058,Data Analyst I,Starbucks,"Redmond, WA",Remote,,,Python; Stakeholder Management; AWS,0,2024-12-11,False,False,Active
JOB-0059,Jr. Data Scientist,Amazon,Remote,Hybrid,,,Tableau; R; GCP,2,2024-10-24,False,False,Active
