sale_id,date,shop_name,category,item,quantity,unit_price,total,payment_method
TXN-00001,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 1,1,8.75,8.75,Card
TXN-00002,07/01/2024,HUB Coffee,Espresso,Espresso Item 1,1,4.75,4.75,Cash
TXN-00003,07/01/2024,HUB Coffee,Drip Coffee,Drip Coffee Item 2,1,2.5,2.5,Card
TXN-00004,2024-07-01,HUB Coffee,Cold Brew,Cold Brew Item 1,1,5.25,5.25,Cash
TXN-00005,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 2,1,8.75,8.75,Mobile
TXN-00006,07/01/2024,HUB Coffee,Espresso,Espresso Item 3,1,4.75,4.75,Card
TXN-00007,2024-07-01,HUB Coffee,Tea,Tea Item 5,2,3.25,6.5,Card
TXN-00008,2024-07-01,HUB Coffee,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Mobile
TXN-00009,07/01/2024,HUB Coffee,Pastry,Pastry Item 2,1,3.5,3.5,Mobile
TXN-00010,2024-07-01,HUB Coffee,Espresso,Espresso Item 4,2,4.75,9.5,Mobile
TXN-00011,2024-07-01,HUB Coffee,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Mobile
TXN-00012,2024-07-01,HUB Coffee,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Card
TXN-00013,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 2,1,8.75,8.75,Card
TXN-00014,2024-07-01,HUB Coffee,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Cash
TXN-00015,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 1,1,8.75,8.75,Cash
TXN-00016,2024-07-01,HUB Coffee,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00017,2024-07-01,HUB Coffee,Drip Coffee,Drip Coffee Item 3,2,2.5,5.0,Cash
TXN-00018,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 4,1,8.75,8.75,Cash
TXN-00019,2024-07-01,HUB Coffee,Tea,Tea Item 5,1,3.25,3.25,Mobile
TXN-00020,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 4,1,8.75,8.75,Mobile
TXN-00021,07/01/2024,HUB Coffee,Drip Coffee,Drip Coffee Item 4,3,2.5,7.5,Card
