skill,skill_category,role_category,posting_count,pct_of_postings,yoy_change_pct,median_salary_premium
SQL,Technical,Data Analyst,25,6.2,-6.9,0
SQL,Technical,Business Intelligence,15,3.8,18.4,0
SQL,Technical,Data Scientist,22,5.5,13.0,8000
SQL,Technical,Data Engineer,75,18.8,-1.5,2000
SQL,Technical,Marketing Analytics,29,7.2,5.2,0
SQL,Technical,Finance Analytics,21,5.2,27.9,5000
Python,Technical,Data Analyst,57,14.2,7.4,8000
Python,Technical,Business Intelligence,36,9.0,-4.5,5000
Python,Technical,Data Scientist,31,7.8,31.3,5000
Python,Technical,Data Engineer,80,20.0,34.9,12000
Python,Technical,Marketing Analytics,26,6.5,-9.7,0
Python,Technical,Finance Analytics,17,4.2,20.2,0
Excel,Technical,Data Analyst,58,14.5,28.1,5000
Excel,Technical,Business Intelligence,31,7.8,-1.6,8000
Excel,Technical,Data Scientist,77,19.2,-0.7,2000
Excel,Technical,Data Engineer,62,15.5,4.5,0
Excel,Technical,Marketing Analytics,16,4.0,5.3,5000
Excel,Technical,Finance Analytics,94,23.5,-0.6,12000
Tableau,Visualization,Data Analyst,15,3.8,0.4,5000
Tableau,Visualization,Business Intelligence,28,7.0,14.2,0
Tableau,Visualization,Data Scientist,54,13.5,31.0,5000
Tableau,Visualization,Data Engineer,81,20.2,24.2,0
Tableau,Visualization,Marketing Analytics,77,19.2,5.0,2000
Tableau,Visualization,Finance Analytics,60,15.0,-9.4,12000
Power BI,Visualization,Data Analyst,51,12.8,-12.6,0
Power BI,Visualization,Business Intelligence,23,5.8,13.3,5000
Power BI,Visualization,Data Scientist,26,6.5,20.0,12000
Power BI,Visualization,Data Engineer,78,19.5,-10.0,5000
Power BI,Visualization,Marketing Analytics,35,8.8,-11.9,12000
Power BI,Visualization,Finance Analytics,58,14.5,-2.3,12000
R,Technical,Data Analyst,38,9.5,32.8,0
R,Technical,Business Intelligence,23,5.8,26.7,2000
R,Technical,Data Scientist,78,19.5,21.8,2000
R,Technical,Data Engineer,71,17.8,0.9,12000
R,Technical,Marketing Analytics,68,17.0,-9.6,0
R,Technical,Finance Analytics,65,16.2,-2.1,0
Statistics,Analytical,Data Analyst,15,3.8,-4.1,12000
Statistics,Analytical,Business Intelligence,37,9.2,14.7,2000
Statistics,Analytical,Data Scientist,50,12.5,22.0,2000
Statistics,Analytical,Data Engineer,55,13.8,25.7,0
Statistics,Analytical,Marketing Analytics,83,20.8,5.9,8000
Statistics,Analytical,Finance Analytics,29,7.2,6.7,0
Machine Learning,Analytical,Data Analyst,32,8.0,33.8,12000
Machine Learning,Analytical,Business Intelligence,85,21.2,21.8,0
Machine Learning,Analytical,Data Scientist,37,9.2,11.1,12000
Machine Learning,Analytical,Data Engineer,29,7.2,-4.1,8000
Machine Learning,Analytical,Marketing Analytics,15,3.8,5.2,0
Machine Learning,Analytical,Finance Analytics,81,20.2,6.0,2000
A/B Testing,Analytical,Data Analyst,33,8.2,-5.3,5000
A/B Testing,Analytical,Business Intelligence,23,5.8,-14.3,8000
A/B Testing,Analytical,Data Scientist,88,22.0,-7.6,0
A/B Testing,Analytical,Data Engineer,40,10.0,27.5,0
A/B Testing,Analytical,Marketing Analytics,17,4.2,-1.4,0
A/B Testing,Analytical,Finance Analytics,59,14.8,-3.5,5000
Communication,Soft,Data Analyst,92,23.0,20.6,12000
Communication,Soft,Business Intelligence,44,11.0,-8.3,8000
Communication,Soft,Data Scientist,36,9.0,33.2,12000
Communication,Soft,Data Engineer,35,8.8,14.4,12000
Communication,Soft,Marketing Analytics,21,5.2,-10.0,8000
Communication,Soft,Finance Analytics,54,13.5,13.6,8000
Data Modeling,Technical,Data Analyst,56,14.0,-10.7,12000
Data Modeling,Technical,Business Intelligence,18,4.5,30.2,0
Data Modeling,Technical,Data Scientist,45,11.2,-14.5,2000
Data Modeling,Technical,Data Engineer,28,7.0,8.3,5000
Data Modeling,Technical,Marketing Analytics,46,11.5,-6.7,0
Data Modeling,Technical,Finance Analytics,29,7.2,20.1,2000
Looker,Visualization,Data Analyst,47,11.8,31.4,8000
Looker,Visualization,Business Intelligence,80,20.0,-9.7,0
Looker,Visualization,Data Scientist,80,20.0,0.5,12000
Looker,Visualization,Data Engineer,32,8.0,34.8,0
Looker,Visualization,Marketing Analytics,37,9.2,-14.0,12000
Looker,Visualization,Finance Analytics,47,11.8,13.5,8000
dbt,Technical,Data Analyst,71,17.8,6.9,2000
dbt,Technical,Business Intelligence,76,19.0,-8.4,2000
dbt,Technical,Data Scientist,29,7.2,-2.9,2000
dbt,Technical,Data Engineer,59,14.8,-11.4,8000
dbt,Technical,Marketing Analytics,47,11.8,-11.1,5000
dbt,Technical,Finance Analytics,23,5.8,19.2,0
Snowflake,Technical,Data Analyst,26,6.5,-6.5,8000
Snowflake,Technical,Business Intelligence,57,14.2,15.9,12000
Snowflake,Technical,Data Scientist,64,16.0,10.1,0
Snowflake,Technical,Data Engineer,21,5.2,25.8,2000
Snowflake,Technical,Marketing Analytics,19,4.8,11.7,0
Snowflake,Technical,Finance Analytics,90,22.5,-2.0,2000
BigQuery,Technical,Data Analyst,35,8.8,7.7,8000
